STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geo_id,geography,Population,geography_income,median_income,geography_poverty,Poverty,Below poverty level,Below poverty level - Male,Below poverty level - Female,At or above poverty level,At or above poverty level - Male,At or above poverty level - Female,geography_housing,Housing units,geography_owner_renter,Owner:renter occupancy,Owner occupied,Renter occupied,geography_vehicles,Vehicles available,Owner occupied_vehicles,Owner occupied - No vehicles available,Owner occupied - 1 vehicle available,Renter occupied_vehicles,Renter occupied - No vehicles available,Renter occupied - 1 vehicle available,geography_households,Population_households,Family households,Married-couple family households,Other family households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households,Householder living alone,Householder not living alone,grocery_stores,grocery_stores_per_1000,area_sq_miles,population_density,poverty_rate,apartment_count,major_retailers,major_road_segments,road_access_score,population_score,income_score,apartment_score,competition_score,opportunity_score
12,095,016411,12095016411,1400000US12095016411,164.11,Census Tract 164.11,G5020,S,3327372,497507,+28.5858134,-081.2648697,1400000US12095016411,Census Tract 164.11; Orange County; Florida,4715,Census Tract 164.11; Orange County; Florida,81488.0,Census Tract 164.11; Orange County; Florida,4715,390,248,142,4325,2546,1779,Census Tract 164.11; Orange County; Florida,1651,Census Tract 164.11; Orange County; Florida,1424,549,875,Census Tract 164.11; Orange County; Florida,1424,549,7,94,875,0,408,Census Tract 164.11; Orange County; Florida,1424,887,455,432,107,325,537,369,168,0.0,0.0,1.4756347973710648,3195.235032678862,8.271474019088016,64.0,0.0,21.0,0.5636704119850188,0.4307116104868914,0.5378787878787878,0.951310861423221,0.8745318352059925,0.689410963568267
12,095,014807,12095014807,1400000US12095014807,148.07,Census Tract 148.07,G5020,S,4853203,890153,+28.5236695,-081.4870445,1400000US12095014807,Census Tract 148.07; Orange County; Florida,8111,Census Tract 148.07; Orange County; Florida,75208.0,Census Tract 148.07; Orange County; Florida,8059,1057,435,622,7002,3251,3751,Census Tract 148.07; Orange County; Florida,2914,Census Tract 148.07; Orange County; Florida,2867,1866,1001,Census Tract 148.07; Orange County; Florida,2867,1866,31,385,1001,0,489,Census Tract 148.07; Orange County; Florida,2867,2139,1456,683,70,613,728,499,229,0.0,0.0,2.2158732637951855,3660.4078999121425,13.115771187492244,0.0,0.0,9.0,0.3539325842696629,0.8876404494382022,0.48295454545454547,0.3052434456928839,0.8745318352059925,0.6862912836227444
12,095,017901,12095017901,1400000US12095017901,179.01,Census Tract 179.01,G5020,S,79215687,14629813,+28.7076543,-081.6148216,1400000US12095017901,Census Tract 179.01; Orange County; Florida,6455,Census Tract 179.01; Orange County; Florida,106690.0,Census Tract 179.01; Orange County; Florida,6404,298,110,188,6106,3261,2845,Census Tract 179.01; Orange County; Florida,2420,Census Tract 179.01; Orange County; Florida,2262,1973,289,Census Tract 179.01; Orange County; Florida,2262,1973,0,456,289,11,214,Census Tract 179.01; Orange County; Florida,2262,1708,1323,385,107,278,554,459,95,0.0,0.0,36.20815447073168,178.2747586656979,4.653341661461587,0.0,0.0,29.0,0.6666666666666666,0.7153558052434457,0.7348484848484849,0.3052434456928839,0.8745318352059925,0.6849846782431053
12,095,016603,12095016603,1400000US12095016603,166.03,Census Tract 166.03,G5020,S,44586789,511394,+28.5588620,-081.0744634,1400000US12095016603,Census Tract 166.03; Orange County; Florida,8043,Census Tract 166.03; Orange County; Florida,108942.0,Census Tract 166.03; Orange County; Florida,8025,1850,1059,791,6175,3343,2832,Census Tract 166.03; Orange County; Florida,2531,Census Tract 166.03; Orange County; Florida,2369,2168,201,Census Tract 166.03; Orange County; Florida,2369,2168,60,348,201,12,0,Census Tract 166.03; Orange County; Florida,2369,1993,1667,326,155,171,376,221,155,1.0,0.12433171702101205,17.398607340938486,462.27837909043575,23.05295950155763,0.0,0.0,39.0,0.7471910112359551,0.8801498127340824,0.7575757575757576,0.3052434456928839,0.6891385767790262,0.6833503575076608
12,095,016736,12095016736,1400000US12095016736,167.36,Census Tract 167.36,G5020,S,25452730,11511869,+28.3955129,-081.2045788,1400000US12095016736,Census Tract 167.36; Orange County; Florida,14231,Census Tract 167.36; Orange County; Florida,121250.0,Census Tract 167.36; Orange County; Florida,14220,1185,614,571,13035,6805,6230,Census Tract 167.36; Orange County; Florida,5133,Census Tract 167.36; Orange County; Florida,4976,3283,1693,Census Tract 167.36; Orange County; Florida,4976,3283,171,720,1693,107,831,Census Tract 167.36; Orange County; Florida,4976,3795,3268,527,247,280,1181,881,300,20.0,1.4053826154170475,14.26085281317191,997.9066600319767,8.333333333333332,41.0,1.0,41.0,0.7696629213483146,0.9850187265917603,0.865530303030303,0.9044943820224719,0.1123595505617978,0.6832184201566224
12,095,017109,12095017109,1400000US12095017109,171.09,Census Tract 171.09,G5020,S,7261201,2741155,+28.4518841,-081.5113781,1400000US12095017109,Census Tract 171.09; Orange County; Florida,5571,Census Tract 171.09; Orange County; Florida,146839.0,Census Tract 171.09; Orange County; Florida,5548,32,32,0,5516,2923,2593,Census Tract 171.09; Orange County; Florida,2357,Census Tract 171.09; Orange County; Florida,2075,1789,286,Census Tract 171.09; Orange County; Florida,2075,1789,33,196,286,0,59,Census Tract 171.09; Orange County; Florida,2075,1903,1728,175,26,149,172,165,7,0.0,0.0,3.8590810989736593,1443.6079100492689,0.5767844268204758,0.0,0.0,0.0,0.11797752808988764,0.5655430711610487,0.9393939393939394,0.3052434456928839,0.8745318352059925,0.6809499489274771
12,095,015204,12095015204,1400000US12095015204,152.04,Census Tract 152.04,G5020,S,2484265,390556,+28.6271579,-081.4083163,1400000US12095015204,Census Tract 152.04; Orange County; Florida,5986,Census Tract 152.04; Orange County; Florida,70784.0,Census Tract 152.04; Orange County; Florida,5914,1059,381,678,4855,2415,2440,Census Tract 152.04; Orange County; Florida,2920,Census Tract 152.04; Orange County; Florida,2630,897,1733,Census Tract 152.04; Orange County; Florida,2630,897,12,385,1733,85,711,Census Tract 152.04; Orange County; Florida,2630,1151,698,453,49,404,1479,927,552,0.0,0.0,1.109130139685727,5397.0222121059105,17.906662157592155,3.0,0.0,8.0,0.3352059925093633,0.6441947565543071,0.42424242424242425,0.702247191011236,0.8745318352059925,0.6809159005788219
12,095,017111,12095017111,1400000US12095017111,171.11,Census Tract 171.11,G5020,S,102927484,8681632,+28.3938692,-081.5982623,1400000US12095017111,Census Tract 171.11; Orange County; Florida,25639,Census Tract 171.11; Orange County; Florida,128444.0,Census Tract 171.11; Orange County; Florida,25639,3042,1708,1334,22597,11143,11454,Census Tract 171.11; Orange County; Florida,8951,Census Tract 171.11; Orange County; Florida,8099,5444,2655,Census Tract 171.11; Orange County; Florida,8099,5444,0,1548,2655,166,1114,Census Tract 171.11; Orange County; Florida,8099,5920,4838,1082,471,611,2179,1242,937,248.0,9.67276414836772,43.06178772330332,595.4002691375769,11.864737314247826,63.0,7.0,187.0,0.9962546816479401,1.0,0.9015151515151515,0.9456928838951311,0.0,0.6694416070820566
12,095,016755,12095016755,1400000US12095016755,167.55,Census Tract 167.55,G5020,S,4221909,14338,+28.4811536,-081.2590622,1400000US12095016755,Census Tract 167.55; Orange County; Florida,6433,Census Tract 167.55; Orange County; Florida,91442.0,Census Tract 167.55; Orange County; Florida,6433,246,91,155,6187,3193,2994,Census Tract 167.55; Orange County; Florida,2549,Census Tract 167.55; Orange County; Florida,2267,1443,824,Census Tract 167.55; Orange County; Florida,2267,1443,10,533,824,0,376,Census Tract 167.55; Orange County; Florida,2267,1634,1316,318,20,298,633,448,185,2.0,0.310896937665164,1.6343411082122101,3936.142808668012,3.824032333281517,11.0,0.0,2.0,0.25280898876404495,0.7116104868913857,0.6174242424242424,0.799625468164794,0.5674157303370786,0.6671178072863466
12,095,016735,12095016735,1400000US12095016735,167.35,Census Tract 167.35,G5020,S,9522630,2030144,+28.4288998,-081.2374706,1400000US12095016735,Census Tract 167.35; Orange County; Florida,12767,Census Tract 167.35; Orange County; Florida,115538.0,Census Tract 167.35; Orange County; Florida,12767,505,201,304,12262,6006,6256,Census Tract 167.35; Orange County; Florida,4846,Census Tract 167.35; Orange County; Florida,4347,2706,1641,Census Tract 167.35; Orange County; Florida,4347,2706,0,458,1641,0,471,Census Tract 167.35; Orange County; Florida,4347,3659,2615,1044,431,613,688,387,301,18.0,1.4098848594031488,4.457043704767273,2864.4547475144486,3.9555102999921674,21.0,1.0,51.0,0.8314606741573034,0.9737827715355806,0.7992424242424242,0.8539325842696629,0.1292134831460674,0.6615338781069118
