geo_id,geography,Population,geography_income,median_income,geography_poverty,Poverty,Below poverty level,Below poverty level - Male,Below poverty level - Female,At or above poverty level,At or above poverty level - Male,At or above poverty level - Female,geography_housing,Housing units,geography_owner_renter,Owner:renter occupancy,Owner occupied,Renter occupied,geography_vehicles,Vehicles available,Owner occupied_vehicles,Owner occupied - No vehicles available,Owner occupied - 1 vehicle available,Renter occupied_vehicles,Renter occupied - No vehicles available,Renter occupied - 1 vehicle available,geography_households,Population_households,Family households,Married-couple family households,Other family households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households,Householder living alone,Householder not living alone
1400000US12095013202,Census Tract 132.02; Orange County; Florida,7224,Census Tract 132.02; Orange County; Florida,59888.0,Census Tract 132.02; Orange County; Florida,7195,737,318,419,6458,3452,3006,Census Tract 132.02; Orange County; Florida,3033,Census Tract 132.02; Orange County; Florida,2849,1124,1725,Census Tract 132.02; Orange County; Florida,2849,1124,0,197,1725,26,580,Census Tract 132.02; Orange County; Florida,2849,1720,1103,617,195,422,1129,841,288
1400000US12095013300,Census Tract 133; Orange County; Florida,6773,Census Tract 133; Orange County; Florida,82054.0,Census Tract 133; Orange County; Florida,6697,1130,508,622,5567,2908,2659,Census Tract 133; Orange County; Florida,2902,Census Tract 133; Orange County; Florida,2660,1449,1211,Census Tract 133; Orange County; Florida,2660,1449,15,374,1211,119,571,Census Tract 133; Orange County; Florida,2660,1725,1270,455,145,310,935,850,85
1400000US12095013402,Census Tract 134.02; Orange County; Florida,3716,Census Tract 134.02; Orange County; Florida,67194.0,Census Tract 134.02; Orange County; Florida,3716,320,111,209,3396,1815,1581,Census Tract 134.02; Orange County; Florida,1512,Census Tract 134.02; Orange County; Florida,1336,993,343,Census Tract 134.02; Orange County; Florida,1336,993,16,315,343,37,138,Census Tract 134.02; Orange County; Florida,1336,1114,697,417,106,311,222,151,71
1400000US12095013403,Census Tract 134.03; Orange County; Florida,3432,Census Tract 134.03; Orange County; Florida,54583.0,Census Tract 134.03; Orange County; Florida,3432,816,348,468,2616,1621,995,Census Tract 134.03; Orange County; Florida,1393,Census Tract 134.03; Orange County; Florida,1292,515,777,Census Tract 134.03; Orange County; Florida,1292,515,7,210,777,177,397,Census Tract 134.03; Orange County; Florida,1292,804,470,334,111,223,488,346,142
1400000US12095013405,Census Tract 134.05; Orange County; Florida,2476,Census Tract 134.05; Orange County; Florida,43288.0,Census Tract 134.05; Orange County; Florida,2476,614,302,312,1862,959,903,Census Tract 134.05; Orange County; Florida,1006,Census Tract 134.05; Orange County; Florida,963,270,693,Census Tract 134.05; Orange County; Florida,963,270,10,192,693,54,349,Census Tract 134.05; Orange County; Florida,963,532,216,316,76,240,431,262,169
1400000US12095013406,Census Tract 134.06; Orange County; Florida,4810,Census Tract 134.06; Orange County; Florida,70948.0,Census Tract 134.06; Orange County; Florida,4810,518,223,295,4292,2644,1648,Census Tract 134.06; Orange County; Florida,1483,Census Tract 134.06; Orange County; Florida,1460,586,874,Census Tract 134.06; Orange County; Florida,1460,586,19,209,874,204,365,Census Tract 134.06; Orange County; Florida,1460,1062,533,529,163,366,398,211,187
1400000US12095013503,Census Tract 135.03; Orange County; Florida,2300,Census Tract 135.03; Orange County; Florida,45386.0,Census Tract 135.03; Orange County; Florida,2300,527,242,285,1773,862,911,Census Tract 135.03; Orange County; Florida,1078,Census Tract 135.03; Orange County; Florida,981,0,981,Census Tract 135.03; Orange County; Florida,981,0,0,0,981,118,617,Census Tract 135.03; Orange County; Florida,981,411,272,139,87,52,570,382,188
1400000US12095013505,Census Tract 135.05; Orange County; Florida,5849,Census Tract 135.05; Orange County; Florida,53190.0,Census Tract 135.05; Orange County; Florida,5849,1162,583,579,4687,1546,3141,Census Tract 135.05; Orange County; Florida,2456,Census Tract 135.05; Orange County; Florida,2010,959,1051,Census Tract 135.05; Orange County; Florida,2010,959,51,399,1051,64,711,Census Tract 135.05; Orange County; Florida,2010,1179,641,538,167,371,831,644,187
1400000US12095013507,Census Tract 135.07; Orange County; Florida,9445,Census Tract 135.07; Orange County; Florida,62196.0,Census Tract 135.07; Orange County; Florida,9445,1976,1001,975,7469,3540,3929,Census Tract 135.07; Orange County; Florida,4189,Census Tract 135.07; Orange County; Florida,3872,347,3525,Census Tract 135.07; Orange County; Florida,3872,347,48,87,3525,122,2017,Census Tract 135.07; Orange County; Florida,3872,2370,981,1389,219,1170,1502,1028,474
1400000US12095013510,Census Tract 135.10; Orange County; Florida,2403,Census Tract 135.10; Orange County; Florida,58125.0,Census Tract 135.10; Orange County; Florida,2403,420,172,248,1983,934,1049,Census Tract 135.10; Orange County; Florida,1167,Census Tract 135.10; Orange County; Florida,1063,138,925,Census Tract 135.10; Orange County; Florida,1063,138,11,63,925,70,546,Census Tract 135.10; Orange County; Florida,1063,486,268,218,26,192,577,432,145
1400000US12095013511,Census Tract 135.11; Orange County; Florida,6241,Census Tract 135.11; Orange County; Florida,55280.0,Census Tract 135.11; Orange County; Florida,6241,1086,214,872,5155,2512,2643,Census Tract 135.11; Orange County; Florida,2535,Census Tract 135.11; Orange County; Florida,2331,1623,708,Census Tract 135.11; Orange County; Florida,2331,1623,97,530,708,161,335,Census Tract 135.11; Orange County; Florida,2331,1467,833,634,108,526,864,634,230
1400000US12095013512,Census Tract 135.12; Orange County; Florida,5037,Census Tract 135.12; Orange County; Florida,49500.0,Census Tract 135.12; Orange County; Florida,5037,975,404,571,4062,2069,1993,Census Tract 135.12; Orange County; Florida,1950,Census Tract 135.12; Orange County; Florida,1940,554,1386,Census Tract 135.12; Orange County; Florida,1940,554,0,128,1386,265,744,Census Tract 135.12; Orange County; Florida,1940,1415,573,842,37,805,525,421,104
1400000US12095013513,Census Tract 135.13; Orange County; Florida,4490,Census Tract 135.13; Orange County; Florida,45598.0,Census Tract 135.13; Orange County; Florida,4490,830,347,483,3660,1793,1867,Census Tract 135.13; Orange County; Florida,2270,Census Tract 135.13; Orange County; Florida,2034,722,1312,Census Tract 135.13; Orange County; Florida,2034,722,46,476,1312,33,638,Census Tract 135.13; Orange County; Florida,2034,1060,638,422,186,236,974,785,189
1400000US12095013603,Census Tract 136.03; Orange County; Florida,4553,Census Tract 136.03; Orange County; Florida,54112.0,Census Tract 136.03; Orange County; Florida,4439,832,307,525,3607,1463,2144,Census Tract 136.03; Orange County; Florida,2257,Census Tract 136.03; Orange County; Florida,1999,1264,735,Census Tract 136.03; Orange County; Florida,1999,1264,84,667,735,110,314,Census Tract 136.03; Orange County; Florida,1999,1187,788,399,149,250,812,694,118
1400000US12095013604,Census Tract 136.04; Orange County; Florida,6722,Census Tract 136.04; Orange County; Florida,54356.0,Census Tract 136.04; Orange County; Florida,6722,1443,522,921,5279,2909,2370,Census Tract 136.04; Orange County; Florida,3213,Census Tract 136.04; Orange County; Florida,2957,1434,1523,Census Tract 136.04; Orange County; Florida,2957,1434,15,510,1523,21,1075,Census Tract 136.04; Orange County; Florida,2957,1704,1063,641,207,434,1253,1090,163
1400000US12095013605,Census Tract 136.05; Orange County; Florida,3746,Census Tract 136.05; Orange County; Florida,64976.0,Census Tract 136.05; Orange County; Florida,3706,790,297,493,2916,1503,1413,Census Tract 136.05; Orange County; Florida,1660,Census Tract 136.05; Orange County; Florida,1521,691,830,Census Tract 136.05; Orange County; Florida,1521,691,0,163,830,216,431,Census Tract 136.05; Orange County; Florida,1521,970,479,491,103,388,551,387,164
1400000US12095013606,Census Tract 136.06; Orange County; Florida,4119,Census Tract 136.06; Orange County; Florida,68750.0,Census Tract 136.06; Orange County; Florida,4119,997,447,550,3122,1559,1563,Census Tract 136.06; Orange County; Florida,1587,Census Tract 136.06; Orange County; Florida,1460,712,748,Census Tract 136.06; Orange County; Florida,1460,712,5,185,748,70,332,Census Tract 136.06; Orange County; Florida,1460,1123,688,435,126,309,337,267,70
1400000US12095013607,Census Tract 136.07; Orange County; Florida,5348,Census Tract 136.07; Orange County; Florida,70275.0,Census Tract 136.07; Orange County; Florida,5348,555,244,311,4793,2491,2302,Census Tract 136.07; Orange County; Florida,2133,Census Tract 136.07; Orange County; Florida,2029,1642,387,Census Tract 136.07; Orange County; Florida,2029,1642,42,435,387,0,111,Census Tract 136.07; Orange County; Florida,2029,1496,1186,310,147,163,533,390,143
1400000US12095013701,Census Tract 137.01; Orange County; Florida,4050,Census Tract 137.01; Orange County; Florida,61677.0,Census Tract 137.01; Orange County; Florida,4040,872,375,497,3168,1624,1544,Census Tract 137.01; Orange County; Florida,2332,Census Tract 137.01; Orange County; Florida,2141,556,1585,Census Tract 137.01; Orange County; Florida,2141,556,0,220,1585,151,1207,Census Tract 137.01; Orange County; Florida,2141,1023,440,583,177,406,1118,819,299
1400000US12095013702,Census Tract 137.02; Orange County; Florida,5533,Census Tract 137.02; Orange County; Florida,56148.0,Census Tract 137.02; Orange County; Florida,5533,448,86,362,5085,2714,2371,Census Tract 137.02; Orange County; Florida,2447,Census Tract 137.02; Orange County; Florida,2233,944,1289,Census Tract 137.02; Orange County; Florida,2233,944,46,329,1289,323,786,Census Tract 137.02; Orange County; Florida,2233,1319,866,453,124,329,914,737,177
1400000US12095013801,Census Tract 138.01; Orange County; Florida,2247,Census Tract 138.01; Orange County; Florida,110000.0,Census Tract 138.01; Orange County; Florida,2167,135,52,83,2032,970,1062,Census Tract 138.01; Orange County; Florida,1193,Census Tract 138.01; Orange County; Florida,1016,725,291,Census Tract 138.01; Orange County; Florida,1016,725,15,135,291,30,140,Census Tract 138.01; Orange County; Florida,1016,679,583,96,31,65,337,239,98
1400000US12095013802,Census Tract 138.02; Orange County; Florida,2450,Census Tract 138.02; Orange County; Florida,71250.0,Census Tract 138.02; Orange County; Florida,2431,200,144,56,2231,1091,1140,Census Tract 138.02; Orange County; Florida,1104,Census Tract 138.02; Orange County; Florida,1054,958,96,Census Tract 138.02; Orange County; Florida,1054,958,0,359,96,8,53,Census Tract 138.02; Orange County; Florida,1054,686,565,121,37,84,368,306,62
1400000US12095013803,Census Tract 138.03; Orange County; Florida,2992,Census Tract 138.03; Orange County; Florida,75762.0,Census Tract 138.03; Orange County; Florida,2992,383,117,266,2609,1181,1428,Census Tract 138.03; Orange County; Florida,1155,Census Tract 138.03; Orange County; Florida,1155,713,442,Census Tract 138.03; Orange County; Florida,1155,713,0,135,442,27,275,Census Tract 138.03; Orange County; Florida,1155,828,399,429,103,326,327,296,31
1400000US12095013900,Census Tract 139; Orange County; Florida,4746,Census Tract 139; Orange County; Florida,93256.0,Census Tract 139; Orange County; Florida,4746,401,163,238,4345,1949,2396,Census Tract 139; Orange County; Florida,2222,Census Tract 139; Orange County; Florida,2086,1370,716,Census Tract 139; Orange County; Florida,2086,1370,46,448,716,21,264,Census Tract 139; Orange County; Florida,2086,1200,785,415,134,281,886,694,192
