GEOID,Population,median_income,poverty_rate,housing_units,population_density,grocery_stores,grocery_stores_per_1000,apartment_count,major_retailers,major_road_segments,population_score,income_score,apartment_score,competition_score,road_access_score,opportunity_score,location_rank,nearest_grocery_m,nearest_grocery_miles,nearest_retailer_m,nearest_retailer_miles,nearest_road_m,nearest_road_miles,grocery_stores_per_10000,grocery_access_score,retail_access_score,accessibility_score,final_location_score,demand_score,accessibility_score_final,underserved_score,site_selection_score,site_category,site_rank
12095014701,5271,46727.0,14.222901930797171,2189,3391.8333418577454,18.0,3.414911781445646,0.0,3.0,35.0,0.5168539325842697,0.08333333333333333,0.3052434456928839,0.9014468690702087,0.8232298897203882,0.3586610486891386,186,738.2218090660004,0.4587097656349422,758.9679651291335,0.471600829362233,346.4646149337693,0.21528313084944506,34.14911781445646,0.6590515398538338,0.7029064163038814,0.733493855090465,0.4711108906095366,0.15111059894049514,0.7417027725837928,0.4943188866759184,0.528650743481611,Low,153
12095011701,4372,64009.0,14.144504589315133,1779,4111.868524286087,1.0,0.22872827081427266,0.0,0.0,14.0,0.36704119850187267,0.3446969696969697,0.3052434456928839,0.9969758064516129,0.579575294020427,0.47651727953694245,143,1066.8511085256378,0.6629105452442969,1286.0809341222848,0.7991336433492683,1070.5432644295554,0.6652047445602403,2.2872827081427265,0.5657238841367757,0.5556886503599467,0.5692574013348703,0.5043393160763208,0.1625590934354063,0.5699499718290529,0.5006999794919282,0.5281763716246498,Low,154
12095012900,4113,108304.0,5.4126867499387705,2243,3926.343371523138,15.0,3.6469730123997084,15.0,4.0,0.0,0.33707865168539325,0.75,0.8314606741573034,0.8958135673624288,0.3938779001516769,0.4330992509363296,176,677.1058626447495,0.42073407714245653,514.2874824545348,0.31956342612551125,2123.9050267692273,1.3197333986824615,36.46973012399708,0.6793664407225677,0.7960791858088103,0.5885135735114599,0.4797235477088687,0.2421027445185465,0.5742391464829153,0.4720582555054107,0.5276388228632714,Low,155
12095014608,4835,43313.0,25.046535677352637,2086,5575.473933755533,0.0,0.0,14.0,0.0,15.0,0.449438202247191,0.05303030303030303,0.8202247191011236,1.0,0.5817920265844814,0.6049582907728974,44,958.7049931107464,0.5957116645731095,1614.3039332889039,1.0030819596611438,1061.5471644701584,0.6596148272029835,0.0,0.5937995115910817,0.4883418704795155,0.5679049893661283,0.5938423003508666,0.15634933022203495,0.5673046151157983,0.5131479386871562,0.5273154489806893,Low,156
12095013702,5533,56148.0,8.09687330562082,2447,7258.0470441031675,9.0,1.626604012289897,0.0,1.0,0.0,0.5599250936329588,0.20833333333333334,0.3052434456928839,0.9580763757115749,0.3080613466669576,0.32572565543071164,242,321.9132886351113,0.20002764395624012,349.47370160539816,0.21715289062214055,2952.5569337297184,1.834633822060242,16.26604012289897,0.822882890722973,0.8719593195423769,0.6267695588644477,0.41603882646083246,0.16908485820749186,0.6010284816616469,0.5149663000796418,0.5267591823367629,Low,157
12095016709,6692,76041.0,12.734927078634792,2463,5619.2810671841935,1.0,0.14943215780035862,0.0,0.0,0.0,0.7528089887640449,0.4962121212121212,0.3052434456928839,0.9969758064516129,0.3245913456883635,0.5271471739870617,149,1057.1815905803373,0.6569021853502652,2084.026935299447,1.2949543014417346,2765.510039780918,1.7184082705629857,1.4943215780035863,0.5681414644995647,0.41278411709332824,0.43964994749383696,0.5008980060390942,0.21648935372044842,0.4274724415532769,0.5549922685827664,0.5266821985925952,Low,158
12095017024,2802,78712.0,6.068503350707371,1543,1228.9034352753351,5.0,1.7844396859386151,39.0,1.0,17.0,0.15730337078651685,0.5189393939393939,0.897003745318352,0.9701731499051234,0.5830254236890812,0.5004064521620701,133,1309.4639124441042,0.8136631524671569,1728.2852541698328,1.0739066689097128,1056.5678087905678,0.6565207990277826,17.84439685938615,0.5103085375524729,0.46805310006019424,0.5309442045086605,0.5095677778660472,0.20729864061526804,0.5345800488154908,0.4575074640574025,0.5266381573864827,Low,159
12095018000,3932,50135.0,21.839080459770116,1979,4611.236699470496,1.0,0.25432349949135297,2.0,0.0,32.0,0.31086142322097376,0.10227272727272728,0.6704119850187266,0.9969758064516129,0.6858770808714069,0.5204907218249915,85,958.2849676310833,0.5954506728400412,1569.6862674689755,0.975357827455768,697.8810924281361,0.43364320644196397,2.54323499491353,0.5939131642731482,0.4966800706960827,0.6112521121970387,0.5477191389366056,0.13768303098194368,0.6158503080269515,0.49040316604366585,0.5263763325380182,Low,160
12095018204,2284,72462.0,15.761821366024517,975,4113.078859872412,4.0,1.7513134851138354,0.0,0.0,13.0,0.08239700374531835,0.4621212121212121,0.3052434456928839,0.9879032258064516,0.6028771198108424,0.359954885938032,217,583.4544915809001,0.36254181304985145,1118.38940584932,0.6949349584981954,978.9041990121723,0.6082628692263259,17.513134851138354,0.7126932209581847,0.596352138571427,0.6454985640218963,0.44561798936319125,0.1424436055970014,0.6400077589645291,0.44699820963275455,0.5260497827369173,Low,161
12095016756,2664,154556.0,3.153153153153153,1032,778.4801038646176,10.0,3.7537537537537538,0.0,2.0,7.0,0.14606741573033707,0.9507575757575758,0.3052434456928839,0.9403462998102466,0.43152789252011375,0.3756660708205652,250,1510.4322529415833,0.938539089804034,1654.6513460548324,1.0281526796352007,1848.3509834943902,1.148512054286958,37.53753753753754,0.47093192906087317,0.48099797823194207,0.4571835242787832,0.4001213068580306,0.26938021895581366,0.45521332245174523,0.4462134928014152,0.52551999129589,Low,162
12095017702,2637,125000.0,1.2790697674418605,884,1531.1685258851332,0.0,0.0,0.0,0.0,0.0,0.13857677902621723,0.8939393939393939,0.3052434456928839,1.0,0.3604926644473601,0.4795965270684372,185,1352.656481584143,0.8405017706494963,1352.656481584143,0.8405017706494963,2407.7784482248835,1.4961241650168537,0.0,0.5013948373831881,0.5408215918017932,0.452919319092578,0.47159336467567936,0.2253928695930433,0.44587421044578657,0.46171067514333636,0.5255030574407082,Low,163
12095018300,2478,27885.0,32.24374495560936,1402,1229.1725589177288,6.0,2.4213075060532687,0.0,0.0,67.0,0.11610486891385768,0.015151515151515152,0.3052434456928839,0.9818548387096775,0.8224416018210922,0.317254000680967,210,443.00058430528236,0.2752678012316089,901.4374267788098,0.5601272486049035,348.1757552481014,0.21634638414664695,24.213075060532688,0.7683764543810088,0.6570202571390924,0.767731273908659,0.4523971826492746,0.07976288386997527,0.7704345312806631,0.4483123618378756,0.5253797476008135,Low,164
12095016514,6764,117809.0,10.629804849201657,2535,3219.9909561502327,0.0,0.0,0.0,0.0,0.0,0.7752808988764045,0.821969696969697,0.3052434456928839,1.0,0.26581458926790247,0.6279771024855294,113,2492.0005127950276,1.5484573296914939,3594.5457955710067,2.2335472065456523,3512.1960453712504,2.1823774440835835,0.0,0.33406124709106744,0.26226804557915545,0.2924039436594191,0.5273051548376962,0.2791794829208267,0.2889916107682608,0.5582901049182886,0.5252991258138117,Low,165
12095015203,2897,71638.0,10.73524335519503,1725,2324.525241235625,5.0,1.7259233690024163,1.0,0.0,2.0,0.17228464419475656,0.45075757575757575,0.6310861423220974,0.9848790322580645,0.5347534872947388,0.4045050221314266,184,285.2019284776322,0.17721626232653315,2174.77187388246,1.351340592118565,1266.3931519944224,0.7869002226959695,17.259233690024164,0.8407846134276279,0.400349202757564,0.6302850808404595,0.4722390397441364,0.15201208136368205,0.614983524533815,0.4597306396882773,0.525238311098483,Low,166
12095014810,6599,107280.0,2.679528403001072,2129,3210.758214906789,2.0,0.30307622367025305,0.0,1.0,0.0,0.7378277153558053,0.7424242424242424,0.3052434456928839,0.9792457305502846,0.23805672948346035,0.529902962206333,175,1680.9931498432888,1.0445207176609157,1680.9931498432888,1.0445207176609157,3961.202528266219,2.461377137682322,3.0307622367025306,0.44128667023951196,0.47630051576025423,0.3669974630412398,0.481031312456805,0.26108532975964893,0.3568359660034372,0.5512029934235773,0.5246953436119901,Low,167
12095017808,3877,115052.0,6.803962460896767,1695,3096.1814304884356,2.0,0.5158627805003869,0.0,0.0,5.0,0.30337078651685395,0.7916666666666666,0.3052434456928839,0.9939516129032258,0.4076970949762279,0.47109082397003743,204,1668.6811192741782,1.036870376547325,1849.62631901387,1.1493045110391997,2017.8078819847174,1.2538076893347334,5.158627805003869,0.4433233213162427,0.44792371009295623,0.4299929085355795,0.4587614493397,0.23007485333649083,0.4282115972185787,0.48750316113682657,0.5246080607629625,Low,168
