GEOID,Population,median_income,poverty_rate,housing_units,population_density,grocery_stores,grocery_stores_per_1000,apartment_count,major_retailers,major_road_segments,population_score,income_score,apartment_score,competition_score,road_access_score,opportunity_score,location_rank
12095017902,8162,73983.0,3.981867189414359,3595,451.53700642012046,1.0,0.12251899044351874,0.0,0.0,35.0,0.8913857677902621,0.4696969696969697,0.3052434456928839,0.6891385767790262,0.8239700374531835,0.6502298263534219,29
12095015501,6127,96404.0,8.354011579818032,3563,3140.920542044754,6.0,0.9792720744246776,20.0,0.0,44.0,0.6554307116104869,0.6553030303030303,0.848314606741573,0.33333333333333337,0.8857677902621723,0.6480145556690501,30
12095017110,8228,85278.0,15.811861934856589,2725,944.4113964700542,84.0,10.209042294603792,56.0,2.0,73.0,0.8951310861423221,0.571969696969697,0.9382022471910112,0.014981273408239737,0.949438202247191,0.643379724208376,31
12095016743,6981,107212.0,6.216874373298954,2463,4851.474220550449,3.0,0.42973785990545765,26.0,1.0,0.0,0.8014981273408239,0.7386363636363636,0.8782771535580525,0.49250936329588013,0.20786516853932585,0.6411325331971399,32
12095012303,9190,86333.0,20.686263796306413,2568,5550.45424357367,0.0,0.0,0.0,0.0,0.0,0.9325842696629213,0.5833333333333334,0.3052434456928839,0.8745318352059925,0.20786516853932585,0.6315074906367042,33
12095016750,12106,117609.0,2.6984521148911513,4233,3065.400117911902,12.0,0.9912440112340988,56.0,2.0,0.0,0.9625468164794008,0.8181818181818182,0.9382022471910112,0.1966292134831461,0.20786516853932585,0.6313415049370105,34
12095017116,8031,173529.0,4.1464325737766154,2995,1764.8864455875746,1.0,0.12451749470800648,0.0,0.0,0.0,0.8764044943820225,0.9734848484848485,0.3052434456928839,0.6891385767790262,0.20786516853932585,0.6296369594824651,35
12095017200,5945,107857.0,14.315569487983282,2544,2134.541568053879,1.0,0.16820857863751051,0.0,0.0,39.0,0.6292134831460674,0.7462121212121212,0.3052434456928839,0.6891385767790262,0.8426966292134831,0.6289730166836909,36
12095016514,6764,117809.0,10.629804849201657,2535,3219.9909561502327,0.0,0.0,0.0,0.0,0.0,0.7752808988764045,0.821969696969697,0.3052434456928839,0.8745318352059925,0.20786516853932585,0.6279771024855294,37
12095017113,17717,134728.0,2.2606533288120265,5986,1299.9207598156981,22.0,1.2417452164587686,46.0,3.0,0.0,0.9925093632958801,0.9242424242424242,0.9138576779026217,0.0955056179775281,0.20786516853932585,0.6245914198161389,38
12095012600,5573,124783.0,0.5793952562013398,2608,4105.082501793165,4.0,0.7177462766911897,1.0,1.0,15.0,0.5692883895131086,0.8901515151515151,0.6310861423220974,0.449438202247191,0.6797752808988764,0.616387895812053,39
12095014705,9194,71857.0,12.064635877279178,3665,13587.026374453662,8.0,0.8701326952360235,7.0,0.0,12.0,0.9363295880149812,0.45454545454545453,0.7659176029962547,0.26779026217228463,0.6235955056179775,0.6159346271705822,40
12095015104,6110,63327.0,25.869993434011818,2110,4414.50656216237,0.0,0.0,0.0,0.0,31.0,0.651685393258427,0.3371212121212121,0.3052434456928839,0.8745318352059925,0.797752808988764,0.6128340994211781,41
12095015002,6758,101250.0,15.433560224918615,2284,3411.3760966591076,0.0,0.0,0.0,0.0,0.0,0.7715355805243446,0.7045454545454546,0.3052434456928839,0.8745318352059925,0.20786516853932585,0.6094271365338781,42
12095013202,7224,59888.0,10.243224461431549,3033,4971.202241479908,2.0,0.2768549280177187,63.0,0.0,0.0,0.8127340823970037,0.2727272727272727,0.9456928838951311,0.5674157303370786,0.20786516853932585,0.6062648961525365,43
12095017111,25639,128444.0,11.864737314247826,8951,645.1600930252021,248.0,9.67276414836772,63.0,7.0,0.0,1.0,0.9015151515151515,0.9456928838951311,0.0,0.20786516853932585,0.6055456247871979,44
12095014807,8111,75208.0,13.115771187492244,2914,4328.562716253575,0.0,0.0,0.0,0.0,0.0,0.8876404494382022,0.48295454545454547,0.3052434456928839,0.8745318352059925,0.20786516853932585,0.6052147173987061,45
12095014608,4835,43313.0,25.046535677352637,2086,5575.473933755533,0.0,0.0,14.0,0.0,15.0,0.449438202247191,0.05303030303030303,0.8202247191011236,0.8745318352059925,0.6797752808988764,0.6049582907728974,46
12095014301,4063,67827.0,14.595126753630321,1875,2535.061568046211,0.0,0.0,6.0,0.0,13.0,0.3258426966292135,0.38257575757575757,0.7509363295880149,0.8745318352059925,0.6441947565543071,0.6042964759959142,47
12095016755,6433,91442.0,3.824032333281517,2549,3946.4122773915783,2.0,0.310896937665164,11.0,0.0,0.0,0.7116104868913857,0.6174242424242424,0.799625468164794,0.5674157303370786,0.20786516853932585,0.6034750595846101,48
12095013507,9445,62196.0,20.921122286924298,4189,2187.099588672239,30.0,3.1762837480148227,10.0,4.0,92.0,0.9400749063670412,0.32954545454545453,0.7902621722846442,0.0449438202247191,0.9775280898876404,0.6003681477698332,49
12095016911,9112,53919.0,25.0,4085,15984.321568578578,2.0,0.21949078138718173,24.0,0.0,0.0,0.9288389513108615,0.14393939393939395,0.8651685393258427,0.5674157303370786,0.20786516853932585,0.5998680626489616,50
12095012307,6889,48826.0,23.35468841001747,2352,5598.240963880257,1.0,0.14515894904920887,47.0,0.0,0.0,0.7940074906367042,0.09090909090909091,0.9176029962546817,0.6891385767790262,0.20786516853932585,0.5991232550221315,51
12095016603,8043,108942.0,23.05295950155763,2531,467.207323871876,1.0,0.12433171702101205,0.0,0.0,0.0,0.8801498127340824,0.7575757575757576,0.3052434456928839,0.6891385767790262,0.20786516853932585,0.5981869254341164,52
12095014607,6061,55642.0,8.579442336248144,3638,5924.010873967878,1.0,0.1649892756970797,4.0,0.0,10.0,0.6479400749063671,0.20075757575757575,0.7209737827715356,0.6891385767790262,0.5861423220973783,0.5964994041538986,53
12095016810,9083,97484.0,7.282632866355349,3889,1832.4830382840473,3.0,0.3302873499944952,0.0,0.0,7.0,0.9213483146067416,0.6742424242424242,0.3052434456928839,0.49250936329588013,0.5224719101123596,0.5940202587674498,54
12095017109,5571,146839.0,0.5767844268204758,2357,1987.1125673025713,0.0,0.0,0.0,0.0,0.0,0.5655430711610487,0.9393939393939394,0.3052434456928839,0.8745318352059925,0.20786516853932585,0.5931562819203269,55
12095017006,4515,86859.0,13.91858085057994,1622,1775.5911211381474,2.0,0.44296788482835,7.0,0.0,19.0,0.40074906367041196,0.5871212121212122,0.7659176029962547,0.5674157303370786,0.7191011235955056,0.5911580694586313,56
12095018201,4932,172628.0,4.114891016500306,2441,7211.352115545835,4.0,0.8110300081103001,55.0,1.0,0.0,0.4606741573033708,0.9696969696969697,0.9307116104868914,0.449438202247191,0.20786516853932585,0.5903047327204631,57
12095017112,16409,118277.0,6.338071127920454,6342,3507.762294631922,18.0,1.0969589859223596,0.0,2.0,34.0,0.9887640449438202,0.8295454545454546,0.3052434456928839,0.1292134831460674,0.8164794007490637,0.5874467994552265,58
12095017123,5967,162188.0,6.454866364094807,2593,2277.334205942171,44.0,7.373889726830903,13.0,3.0,24.0,0.6404494382022472,0.9659090909090909,0.8089887640449438,0.02621722846441943,0.7565543071161048,0.5868339291794348,59
12095017506,12688,96643.0,6.486443883984867,4844,1460.2780057746752,11.0,0.8669609079445145,10.0,1.0,0.0,0.9700374531835206,0.6590909090909091,0.7902621722846442,0.21161048689138573,0.20786516853932585,0.5835078311201907,60
12095016412,5132,84086.0,5.904130943102104,1789,3308.2108763070187,0.0,0.0,0.0,0.0,12.0,0.50187265917603,0.5606060606060606,0.3052434456928839,0.8745318352059925,0.6235955056179775,0.5827800476676881,61
12095012000,8577,60424.0,18.30298702844222,2437,7141.440161494979,0.0,0.0,0.0,0.0,0.0,0.9101123595505618,0.2803030303030303,0.3052434456928839,0.8745318352059925,0.20786516853932585,0.5804349676540688,62
12095017701,6202,98125.0,7.368590777168656,1897,5426.968934151433,0.0,0.0,0.0,0.0,0.0,0.6704119850187266,0.678030303030303,0.3052434456928839,0.8745318352059925,0.20786516853932585,0.5801689649302009,63
12095017021,6593,101139.0,9.72243288336114,2055,3220.0132809688216,4.0,0.6067040800849386,0.0,0.0,31.0,0.7265917602996255,0.7007575757575758,0.3052434456928839,0.449438202247191,0.797752808988764,0.5798327374872319,64
12095014100,6153,88675.0,10.104302477183833,2591,2395.8841156965004,18.0,2.9254022428083863,3.0,1.0,96.0,0.6629213483146067,0.6098484848484849,0.702247191011236,0.1292134831460674,0.9812734082397003,0.5771514300306435,65
12095016804,8439,87475.0,6.694560669456067,2579,1361.4218081334716,9.0,1.0664770707429791,0.0,1.0,55.0,0.9026217228464419,0.5946969696969697,0.3052434456928839,0.24906367041198507,0.9232209737827716,0.5766577289751447,66
12095014201,6711,69934.0,12.218745343465951,2051,7616.777552140894,12.0,1.788109074653554,14.0,5.0,24.0,0.7565543071161048,0.4053030303030303,0.8202247191011236,0.1966292134831461,0.7565543071161048,0.5766194245829077,67
12095017020,5923,69512.0,11.060869565217391,3037,5333.718424834569,7.0,1.1818335303055885,130.0,2.0,11.0,0.6217228464419475,0.4015151515151515,0.9925093632958801,0.2865168539325843,0.6048689138576779,0.5765194075587334,68
12095016200,6862,81066.0,15.214158239143366,3206,4842.232282446909,2.0,0.29146021568055963,0.0,0.0,13.0,0.7827715355805244,0.5340909090909091,0.3052434456928839,0.5674157303370786,0.6441947565543071,0.57533835546476,69
12095017025,3654,101439.0,2.4630541871921183,1505,689.8431854826305,0.0,0.0,8.0,0.0,0.0,0.250936329588015,0.7121212121212122,0.7752808988764045,0.8745318352059925,0.20786516853932585,0.5744211780728635,70
12095017302,9003,71455.0,12.01793721973094,3299,5132.447351776925,48.0,5.331556147950684,1.0,3.0,77.0,0.9176029962546817,0.44696969696969696,0.6310861423220974,0.022471910112359605,0.9644194756554307,0.572944330949949,71
12095014702,5960,51444.0,16.353160481274358,2818,8628.062816279169,3.0,0.5033557046979866,54.0,1.0,9.0,0.6367041198501873,0.12121212121212122,0.9250936329588015,0.49250936329588013,0.5692883895131086,0.5708971739870616,72
12095017117,6520,137260.0,8.389570552147239,2429,2368.9910400247804,6.0,0.9202453987730062,0.0,1.0,17.0,0.7191011235955056,0.9318181818181818,0.3052434456928839,0.33333333333333337,0.700374531835206,0.5689862104187947,73
12095016002,2510,199853.0,4.780876494023905,1135,3051.427105109001,0.0,0.0,0.0,0.0,21.0,0.12359550561797752,0.9924242424242424,0.3052434456928839,0.8745318352059925,0.7284644194756554,0.5687138236295539,74
12095016100,5035,133438.0,11.129568106312291,2280,4075.560132527842,0.0,0.0,0.0,0.0,0.0,0.47191011235955055,0.9166666666666666,0.3052434456928839,0.8745318352059925,0.20786516853932585,0.5663389513108614,75
12095017001,5947,77050.0,6.5131206343213135,3350,573.7910703934245,219.0,36.82529006221624,43.0,12.0,179.0,0.6329588014981273,0.5,0.9101123595505618,0.0037453183520599342,1.0,0.5661985018726592,76
12095016809,7837,66810.0,23.93773127472247,2850,4154.063099696146,2.0,0.25519969376036744,0.0,0.0,11.0,0.8651685393258427,0.375,0.3052434456928839,0.5674157303370786,0.6048689138576779,0.5661750936329588,77
12095011100,3333,88276.0,7.980798079807981,1857,6018.411552257246,0.0,0.0,20.0,0.0,0.0,0.2247191011235955,0.6022727272727273,0.848314606741573,0.8745318352059925,0.20786516853932585,0.5659963398025196,78
12095015003,7374,87956.0,16.5441686312578,2088,5584.634242899454,1.0,0.13561160835367508,0.0,0.0,0.0,0.8277153558052435,0.5984848484848485,0.3052434456928839,0.6891385767790262,0.20786516853932585,0.5612146748382704,79
12095017504,9673,71976.0,10.429829104091144,3502,2057.2710359506973,5.0,0.5169027189083014,0.0,2.0,13.0,0.9438202247191011,0.4583333333333333,0.3052434456928839,0.39513108614232206,0.6441947565543071,0.5611657303370787,80
